id,meta.Original Filename,label,meta.Artist,description,meta.Date,meta.Medium,source
kasukawa-001,Acteur_Ichikawa_Ebizo_II_in_een_shibaraku_rol-Rijksmuseum_RP-P-1956-649.jpeg,Acteur Ichikawa Ebizo II in een shibaraku rol,Katsukawa Shunshō,,1772,paper,https://commons.wikimedia.org/wiki/File:Acteur_Ichikawa_Ebizo_II_in_een_shibaraku_rol-Rijksmuseum_RP-P-1956-649.jpeg
kasukawa-002,Acteur_Sawamura_Sojuro_II_klaar_om_te_vechten-Rijksmuseum_RP-P-1956-658,Acteur Sawamura Sojuro II klaar om te vechten,Katsukawa Shunshō,,between 1763 and 1767,paper,https://commons.wikimedia.org/wiki/File:Acteur_Sawamura_Sojuro_II_klaar_om_te_vechten-Rijksmuseum_RP-P-1956-658.jpeg
kasukawa-003,Acteur_Yamashita_Kinsaku_II_in_de_rol_van_de_courtisane_Agemaki-Rijksmuseum_RP-P-1956-655,Acteur Yamashita Kinsaku II in de rol van de courtisane Agemaki,Katsukawa Shunshō,,between 1773 and 1777,paper,https://commons.wikimedia.org/wiki/File:Acteur_Yamashita_Kinsaku_II_in_de_rol_van_de_courtisane_Agemaki-Rijksmuseum_RP-P-1956-655.jpeg
kasukawa-004,Acteurstriptiek-Rijksmuseum_RP-P-2008-246,Acteurstriptiek,Katsukawa Shunshō,,circa 1770,paper,https://commons.wikimedia.org/wiki/File:Acteurstriptiek-Rijksmuseum_RP-P-2008-246.jpeg
kasukawa-005,Acteur_Ichikawa_Danjuro_IV_in_de_rol_van_de_geest_Ki_no_Natora-Rijksmuseum_RP-P-1956-662.jpeg,The Actor Ichikawa Danjuro IV in the Role of the Spirit Ki no Natora,Katsukawa Shunshō,"Man with bushy hair and in grey clothing, holding a large stick in both hands.",1765,woodcut on paper,https://commons.wikimedia.org/wiki/File:Acteur_Ichikawa_Danjuro_IV_in_de_rol_van_de_geest_Ki_no_Natora-Rijksmuseum_RP-P-1956-662.jpeg
kasukawa-006,Acteur_Ichikawa_Yaozo_met_lang_zwaard-Rijksmuseum_RP-P-1956-651,The Actor Ichikawa Yaozō with Long Sword,Katsukawa Shunshō,"The actor Ichikawa Yaozō, in a robe with fan pattern, holding a sword in his left hand, standing in front of a washitsu, on a wooden verandaunderneath a roof.",1771,woodcut on paper,https://commons.wikimedia.org/wiki/File:Acteur_Ichikawa_Yaozo_met_lang_zwaard-Rijksmuseum_RP-P-1956-651.jpeg
kasukawa-007,Acteur_Nakamura_Nakazo_I_een_pilaar_optillend-Rijksmuseum_RP-P-1956-653,The Actor Nakamura Nakazo I Lifting a Column,Katsukawa Shunshō,"The actor Nakamura Nakazo I in the role of a samurai, on one knee, his left arm holding a stone column. On the background a stone torii. On the column the name of the Buddhist god Fudō-myōō is written. Left page of a diptych.",Between 1773 and 1777,woodcut on paper,https://commons.wikimedia.org/wiki/File:Acteur_Nakamura_Nakazo_I_een_pilaar_optillend-Rijksmuseum_RP-P-1956-653.jpeg
kasukawa-008,Acteur_in_de_rol_van_struikrover-Rijksmuseum_RP-P-1956-656,Actor in the Role of a Brigand,Katsukawa Shunshō,"Man wearing sandals, in black and orange clothing, holding a black lantern in his right hand and a sword in his left, standing in front of a reed fence.",Between 1780 and 1790,woodcut on paper,https://commons.wikimedia.org/wiki/File:Acteur_in_de_rol_van_struikrover-Rijksmuseum_RP-P-1956-656.jpeg
kasukawa-009,Minamoto_no_Yoritomo_en_Yuki_Onna_in_de_sneeuw.-Rijksmuseum_RP-P-2007-144,Minamoto no Yoritomo en Yuki Onna in de sneeuw.,Katsukawa Shunshō,,1770,paper,https://commons.wikimedia.org/wiki/File:Minamoto_no_Yoritomo_en_Yuki_Onna_in_de_sneeuw.-Rijksmuseum_RP-P-2007-144.jpeg
kasukawa-010,Twee_acteurs-Rijksmuseum_RP-P-2008-217.jpeg,Twee acteurs,Katsukawa Shunshō,,between 1780 and 1790,paper,https://commons.wikimedia.org/wiki/File:Twee_acteurs-Rijksmuseum_RP-P-2008-217.jpeg
kasukawa-011,Vrouw_bij_rivier-Rijksmuseum_RP-P-2008-187,Vrouw bij rivier,Katsukawa Shunshō,,1766,paper,https://commons.wikimedia.org/wiki/File:Vrouw_bij_rivier-Rijksmuseum_RP-P-2008-187.jpeg
kasukawa-012,Acteurstriptiek-Rijksmuseum_RP-P-2008-246,Acteurstriptiek x 3,Katsukawa Shunshō,,circa 1770,paper,https://commons.wikimedia.org/wiki/File:Acteurstriptiek-Rijksmuseum_RP-P-2008-246.jpeg
